age_class workclass education marital_status relationship race sex hours_class income_class
U40  State-gov  Bachelors  Never-married  Not-in-family  White  Male UPTO40  <=50K
U55  Self-emp-not-inc  Bachelors  Married-civ-spouse  Husband  White  Male UPTO20  <=50K
U40  Private  HS-grad  Divorced  Not-in-family  White  Male UPTO40  <=50K
U55  Private  11th  Married-civ-spouse  Husband  Black  Male UPTO40  <=50K
U30  Private  Bachelors  Married-civ-spouse  Wife  Black  Female UPTO40  <=50K
U40  Private  Masters  Married-civ-spouse  Wife  White  Female UPTO40  <=50K
U55  Private  9th  Married-spouse-absent  Not-in-family  Black  Female UPTO20  <=50K
U55  Self-emp-not-inc  HS-grad  Married-civ-spouse  Husband  White  Male UPTO60  >50K
U40  Private  Masters  Never-married  Not-in-family  White  Female UPTO60  >50K
U55  Private  Bachelors  Married-civ-spouse  Husband  White  Male UPTO40  >50K
U40  Private  Some-college  Married-civ-spouse  Husband  Black  Male UPTO80  >50K
U40  State-gov  Bachelors  Married-civ-spouse  Husband  Asian-Pac-Islander  Male UPTO40  >50K
U30  Private  Bachelors  Never-married  Own-child  White  Female UPTO40  <=50K
U40  Private  Assoc-acdm  Never-married  Not-in-family  Black  Male UPTO60  <=50K
U55  Private  Assoc-voc  Married-civ-spouse  Husband  Asian-Pac-Islander  Male UPTO40  >50K
U40  Private  7th-8th  Married-civ-spouse  Husband  Amer-Indian-Eskimo  Male UPTO60  <=50K
U30  Self-emp-not-inc  HS-grad  Never-married  Own-child  White  Male UPTO40  <=50K
U40  Private  HS-grad  Never-married  Unmarried  White  Male UPTO40  <=50K
U40  Private  11th  Married-civ-spouse  Husband  White  Male UPTO60  <=50K
U55  Self-emp-not-inc  Masters  Divorced  Unmarried  White  Female UPTO60  >50K
U55  Private  Doctorate  Married-civ-spouse  Husband  White  Male UPTO60  >50K
U55  Private  HS-grad  Separated  Unmarried  Black  Female UPTO20  <=50K
U40  Federal-gov  9th  Married-civ-spouse  Husband  Black  Male UPTO40  <=50K
U55  Private  11th  Married-civ-spouse  Husband  White  Male UPTO40  <=50K
55PLUS  Private  HS-grad  Divorced  Unmarried  White  Female UPTO40  <=50K
55PLUS  Local-gov  Bachelors  Married-civ-spouse  Husband  White  Male UPTO40  >50K
U21  Private  HS-grad  Never-married  Own-child  White  Male UPTO40  <=50K
U55  ?  Some-college  Married-civ-spouse  Husband  Asian-Pac-Islander  Male UPTO60  >50K
U40  Private  HS-grad  Divorced  Not-in-family  White  Male UPTO80  <=50K
U55  Private  HS-grad  Married-civ-spouse  Husband  White  Male UPTO40  <=50K
U30  Local-gov  Assoc-acdm  Never-married  Not-in-family  White  Male UPTO60  <=50K
U21  Private  Some-college  Never-married  Own-child  Black  Male UPTO60  <=50K
U55  Private  Bachelors  Divorced  Own-child  White  Male UPTO40  <=50K
U40  Federal-gov  Some-college  Married-civ-spouse  Own-child  White  Male UPTO40  <=50K
U30  State-gov  Some-college  Married-civ-spouse  Husband  Black  Male UPTO20  <=50K
U55  Private  11th  Never-married  Unmarried  White  Male UPTO40  <=50K
U30  Private  Some-college  Never-married  Own-child  White  Male UPTO40  <=50K
U21  Private  HS-grad  Married-AF-spouse  Wife  White  Female UPTO40  <=50K
U40  Private  Some-college  Married-civ-spouse  Husband  White  Male UPTO40  >50K
U55  Self-emp-not-inc  Assoc-acdm  Married-civ-spouse  Husband  White  Male UPTO40  <=50K
U40  Private  9th  Married-civ-spouse  Husband  White  Male UPTO60  <=50K
U55  Self-emp-not-inc  Bachelors  Married-civ-spouse  Husband  White  Male UPTO40  <=50K
U30  Private  Bachelors  Married-civ-spouse  Husband  White  Male UPTO60  <=50K
U55  Private  HS-grad  Separated  Unmarried  White  Female UPTO40  <=50K
