age_class workclass education marital-status occupation relationship race sex hours_class native-country income_class
U40  State-gov  Bachelors  Never-married  Adm-clerical  Not-in-family  White  Male UPTO40  United-States  <=50K
U55  Self-emp-not-inc  Bachelors  Married-civ-spouse  Exec-managerial  Husband  White  Male UPTO20  United-States  <=50K
U40  Private  HS-grad  Divorced  Handlers-cleaners  Not-in-family  White  Male UPTO40  United-States  <=50K
U55  Private  11th  Married-civ-spouse  Handlers-cleaners  Husband  Black  Male UPTO40  United-States  <=50K
U30  Private  Bachelors  Married-civ-spouse  Prof-specialty  Wife  Black  Female UPTO40  Cuba  <=50K
U40  Private  Masters  Married-civ-spouse  Exec-managerial  Wife  White  Female UPTO40  United-States  <=50K
U55  Private  9th  Married-spouse-absent  Other-service  Not-in-family  Black  Female UPTO20  Jamaica  <=50K
U55  Self-emp-not-inc  HS-grad  Married-civ-spouse  Exec-managerial  Husband  White  Male UPTO60  United-States  >50K
U40  Private  Masters  Never-married  Prof-specialty  Not-in-family  White  Female UPTO60  United-States  >50K
U55  Private  Bachelors  Married-civ-spouse  Exec-managerial  Husband  White  Male UPTO40  United-States  >50K
U40  Private  Some-college  Married-civ-spouse  Exec-managerial  Husband  Black  Male UPTO80  United-States  >50K
U40  State-gov  Bachelors  Married-civ-spouse  Prof-specialty  Husband  Asian-Pac-Islander  Male UPTO40  India  >50K
U30  Private  Bachelors  Never-married  Adm-clerical  Own-child  White  Female UPTO40  United-States  <=50K
U40  Private  Assoc-acdm  Never-married  Sales  Not-in-family  Black  Male UPTO60  United-States  <=50K
U55  Private  Assoc-voc  Married-civ-spouse  Craft-repair  Husband  Asian-Pac-Islander  Male UPTO40  ?  >50K
U40  Private  7th-8th  Married-civ-spouse  Transport-moving  Husband  Amer-Indian-Eskimo  Male UPTO60  Mexico  <=50K
U30  Self-emp-not-inc  HS-grad  Never-married  Farming-fishing  Own-child  White  Male UPTO40  United-States  <=50K
U40  Private  HS-grad  Never-married  Machine-op-inspct  Unmarried  White  Male UPTO40  United-States  <=50K
U40  Private  11th  Married-civ-spouse  Sales  Husband  White  Male UPTO60  United-States  <=50K
U55  Self-emp-not-inc  Masters  Divorced  Exec-managerial  Unmarried  White  Female UPTO60  United-States  >50K
U55  Private  Doctorate  Married-civ-spouse  Prof-specialty  Husband  White  Male UPTO60  United-States  >50K
U55  Private  HS-grad  Separated  Other-service  Unmarried  Black  Female UPTO20  United-States  <=50K
U40  Federal-gov  9th  Married-civ-spouse  Farming-fishing  Husband  Black  Male UPTO40  United-States  <=50K
U55  Private  11th  Married-civ-spouse  Transport-moving  Husband  White  Male UPTO40  United-States  <=50K
55PLUS  Private  HS-grad  Divorced  Tech-support  Unmarried  White  Female UPTO40  United-States  <=50K
55PLUS  Local-gov  Bachelors  Married-civ-spouse  Tech-support  Husband  White  Male UPTO40  United-States  >50K
U21  Private  HS-grad  Never-married  Craft-repair  Own-child  White  Male UPTO40  United-States  <=50K
U55  ?  Some-college  Married-civ-spouse  ?  Husband  Asian-Pac-Islander  Male UPTO60  South  >50K
U40  Private  HS-grad  Divorced  Exec-managerial  Not-in-family  White  Male UPTO80  United-States  <=50K
U55  Private  HS-grad  Married-civ-spouse  Craft-repair  Husband  White  Male UPTO40  United-States  <=50K
U30  Local-gov  Assoc-acdm  Never-married  Protective-serv  Not-in-family  White  Male UPTO60  United-States  <=50K
